ID,Severity,Category,Component,Issue,Impact,Fix,Effort_Hours,PR_Number,Status
B-001,BLOCKER,SEO,App.tsx,SPA hash routing breaks metadata updates,Social preview fails; no SEO indexing,"Add useEffect to update document.title & meta[description] per route; see ARTIFACT H",2,#2,Pending
B-002,BLOCKER,Security,vite.config.ts,Gemini API key exposed in client bundle,API quota theft; PII leak risk,"Move geminiService.ts to backend serverless (Netlify/Vercel); call via fetch /api/audit",6,#2,Pending
B-003,BLOCKER,Performance,index.html,Tailwind CDN blocks LCP (render-blocking),LCP 3.5s → 4.2s; 48% slower,"npm install tailwindcss; create tailwind.config.js; npm run build; replace CDN with dist/index.css",3,#3,Pending
B-004,BLOCKER,A11y,App.tsx,No <h1> or <main> landmarks,Screen readers cannot navigate; fails WCAG A,"Add <main role='main'> wrapper; add <h1 class='sr-only'> per route; see ARTIFACT G",2,#1,Pending
B-005,BLOCKER,UX,Contact.tsx,Form validation missing; errors not shown,Silent failures; users don't know why submit failed,"Add validateForm(); show error messages with aria-describedby; email regex required",2,#4,Pending
H-001,HIGH,Performance,Work.tsx + Hero.tsx + SuccessStories.tsx,Images not lazy-loaded or responsive,LCP impact; bandwidth waste on mobile,"Add loading='lazy' decoding='async' width height srcset to all <img> tags",2,#3,Pending
H-002,HIGH,A11y,Navbar.tsx + Work.tsx + Endorsements.tsx,No focus-visible on interactive elements,Tab navigation invisible; fails WCAG AA,"Add focus-visible:ring-2 focus-visible:outline-blue-600 focus-visible:outline-offset-2 to buttons/links",3,#1,Pending
H-003,HIGH,A11y,index.html,Color contrast fails WCAG AA (3.7:1),"Blue #2563eb on white fails AA 4.5:1; slate-500 marginal","Change --brand-blue to #1e40af (5.2:1); use slate-600 for secondary text",1,#1,Pending
H-004,HIGH,A11y,Work.tsx + VerticalExplorer.tsx + multiple,Missing aria-label on icon buttons,Icon buttons meaningless to screen readers,"Add aria-label='Filter by Automation' to all icon-only buttons",2,#5,Pending
H-005,HIGH,SEO,/public/,Missing robots.txt,"Search engines don't know crawl rules; no sitemap reference","Create /public/robots.txt with Allow / and Disallow /api/; add Sitemap: line",1,#2,Pending
H-006,HIGH,SEO,/public/,Missing sitemap.xml,Search engines cannot discover hash routes,"Create /public/sitemap.xml with all routes + images; add priority/lastmod",2, #2,Pending
H-007,HIGH,SEO,index.html,No OG/Twitter meta tags,LinkedIn/Twitter share shows generic preview; no social proof,"Add og:title og:description og:image og:url twitter:card twitter:site meta tags",2,#2,Pending
H-008,HIGH,SEO,index.html,No JSON-LD schema,Search engines can't infer Person/Article type,"Add Person schema + Article schema (per case study); see ARTIFACT H",2,#2,Pending
H-009,HIGH,A11y,Navbar.tsx,No skip-to-content link,Keyboard users must tab through nav before content,"Add <a href='#main-content' className='sr-only focus:not-sr-only'>Skip to content</a>",1,#5,Pending
H-010,HIGH,A11y,Navbar.tsx,Mobile menu cannot close on Escape,Keyboard users stuck; violates WCAG AA,"Add useEffect: if (e.key === 'Escape' && isOpen) setIsOpen(false)",1,#5,Pending
H-011,HIGH,QA,tsconfig.json,TypeScript not in strict mode,Implicit any types; unchecked nulls allow bugs,"Add 'strict': true to compilerOptions; run npm run build; fix any errors",2,#6,Pending
